DATE,ID,SONG,ARTIST,ALBUM
2021-07-28 : 1,1,GYALIS,"
 
 Capella Grey 
 ","
 

 GYALIS - Single


 "
2021-07-28 : 10,10,Wild Side (feat. Cardi B),"
 
 ノーマニ 
 ","
 

 Wild Side (feat. Cardi B) - Single


 "
2021-07-28 : 11,11,Yonaguni,"
 
 バッド・バニー 
 ","
 

 Yonaguni - Single


 "
2021-07-28 : 12,12,24 Hours (feat. Lil Durk),"
 
 エイ・ブギー・ウィット・ダ・フーディ 
 ","
 

 24 Hours (feat. Lil Durk) - Single


 "
2021-07-28 : 13,13,Over the Top (feat. Drake),"
 
 Smiley 
 ","
 

 Over the Top (feat. Drake) - Single


 "
2021-07-28 : 14,14,Todo De Ti,"
 
 ラウ・アレハンドロ 
 ","
 

 Todo De Ti - Single


 "
2021-07-28 : 15,15,Wants and Needs (feat. Lil Baby),"
 
 ドレイク 
 ","
 

 Scary Hours 2


 "
2021-07-28 : 16,16,La Mamá de la Mamá (feat. El Cherry Scom),"
 
 El Alfa、 CJ、 Chael Produciendo 
 ","
 

 La Mamá de la Mamá (feat. El Cherry Scom) - Single


 "
2021-07-28 : 17,17,Need To Know,"
 
 Doja Cat 
 ","
 

 Planet Her


 "
2021-07-28 : 18,18,On Go (feat. Polo G),"
 
 Sheff G 
 ","
 

 On Go (feat. Polo G) - Single


 "
2021-07-28 : 19,19,2/Catorce,"
 
 ラウ・アレハンドロ、 Mr. Naisgai 
 ","
 

 2/Catorce - Single


 "
2021-07-28 : 2,2,STAY,"
 
 ザ・キッド・ラロイ、 ジャスティン・ビーバー 
 ","
 

 STAY - Single


 "
2021-07-28 : 20,20,2055,"
 
 Sleepy Hallow 
 ","
 

 2055 - Single


 "
2021-07-28 : 21,21,Kiss Me More (feat. SZA),"
 
 Doja Cat 
 ","
 

 Kiss Me More (feat. SZA) - Single


 "
2021-07-28 : 22,22,My Shit,"
 
 Bizzy Banks 
 ","
 

 Same Energy


 "
2021-07-28 : 23,23,Late At Night,"
 
 ロディ・リッチ 
 ","
 

 Late At Night - Single


 "
2021-07-28 : 24,24,WHOLE LOTTA MONEY (Remix),"
 
 BIA、 ニッキー・ミナージュ 
 ","
 

 WHOLE LOTTA MONEY (Remix) - Single


 "
2021-07-28 : 25,25,Hats Off,"
 
 リル・ベイビー、 Lil Durk、 トラヴィス・スコット 
 ","
 

 The Voice of the Heroes


 "
2021-07-28 : 3,3,Pepas,"
 
 Farruko 
 ","
 

 Pepas - Single


 "
2021-07-28 : 4,4,Essence (feat. Tems),"
 
 WizKid 
 ","
 

 Made In Lagos


 "
2021-07-28 : 5,5,INDUSTRY BABY,"
 
 LIL NAS X、 Jack Harlow 
 ","
 

 INDUSTRY BABY - Single


 "
2021-07-28 : 6,6,NOT SOBER (feat. Polo G & Stunna Gambino),"
 
 ザ・キッド・ラロイ 
 ","
 

 F*CK LOVE 3: OVER YOU


 "
2021-07-28 : 7,7,30 (feat. Bizzy Banks),"
 
 ポップ・スモーク 
 ","
 

 Faith


 "
2021-07-28 : 8,8,Tell The Vision (feat. Kanye West & Pusha T),"
 
 ポップ・スモーク 
 ","
 

 Faith


 "
2021-07-28 : 9,9,Woo Baby (feat. Chris Brown),"
 
 ポップ・スモーク 
 ","
 

 Faith


 "
2021-07-29 : 1,1,GYALIS,"
 
 Capella Grey 
 ","
 

 GYALIS - Single


 "
2021-07-29 : 10,10,Yonaguni,"
 
 バッド・バニー 
 ","
 

 Yonaguni - Single


 "
2021-07-29 : 11,11,Wild Side (feat. Cardi B),"
 
 ノーマニ 
 ","
 

 Wild Side (feat. Cardi B) - Single


 "
2021-07-29 : 12,12,Over the Top (feat. Drake),"
 
 Smiley 
 ","
 

 Over the Top (feat. Drake) - Single


 "
2021-07-29 : 13,13,24 Hours (feat. Lil Durk),"
 
 エイ・ブギー・ウィット・ダ・フーディ 
 ","
 

 24 Hours (feat. Lil Durk) - Single


 "
2021-07-29 : 14,14,Todo De Ti,"
 
 ラウ・アレハンドロ 
 ","
 

 Todo De Ti - Single


 "
2021-07-29 : 15,15,Wants and Needs (feat. Lil Baby),"
 
 ドレイク 
 ","
 

 Scary Hours 2


 "
2021-07-29 : 16,16,2055,"
 
 Sleepy Hallow 
 ","
 

 2055 - Single


 "
2021-07-29 : 17,17,Need To Know,"
 
 Doja Cat 
 ","
 

 Planet Her


 "
2021-07-29 : 18,18,2/Catorce,"
 
 ラウ・アレハンドロ、 Mr. Naisgai 
 ","
 

 2/Catorce - Single


 "
2021-07-29 : 19,19,Kiss Me More (feat. SZA),"
 
 Doja Cat 
 ","
 

 Kiss Me More (feat. SZA) - Single


 "
2021-07-29 : 2,2,Pepas,"
 
 Farruko 
 ","
 

 Pepas - Single


 "
2021-07-29 : 20,20,La Mamá de la Mamá (feat. El Cherry Scom),"
 
 El Alfa、 CJ、 Chael Produciendo 
 ","
 

 La Mamá de la Mamá (feat. El Cherry Scom) - Single


 "
2021-07-29 : 21,21,On Go (feat. Polo G),"
 
 Sheff G 
 ","
 

 On Go (feat. Polo G) - Single


 "
2021-07-29 : 22,22,Late At Night,"
 
 ロディ・リッチ 
 ","
 

 Late At Night - Single


 "
2021-07-29 : 23,23,My Shit,"
 
 Bizzy Banks 
 ","
 

 Same Energy


 "
2021-07-29 : 24,24,Hats Off,"
 
 リル・ベイビー、 Lil Durk、 トラヴィス・スコット 
 ","
 

 The Voice of the Heroes


 "
2021-07-29 : 25,25,WHOLE LOTTA MONEY (Remix),"
 
 BIA、 ニッキー・ミナージュ 
 ","
 

 WHOLE LOTTA MONEY (Remix) - Single


 "
2021-07-29 : 3,3,STAY,"
 
 ザ・キッド・ラロイ、 ジャスティン・ビーバー 
 ","
 

 STAY - Single


 "
2021-07-29 : 4,4,Essence (feat. Tems),"
 
 WizKid 
 ","
 

 Made In Lagos


 "
2021-07-29 : 5,5,INDUSTRY BABY,"
 
 LIL NAS X、 Jack Harlow 
 ","
 

 INDUSTRY BABY - Single


 "
2021-07-29 : 6,6,30 (feat. Bizzy Banks),"
 
 ポップ・スモーク 
 ","
 

 Faith


 "
2021-07-29 : 7,7,Tell The Vision (feat. Kanye West & Pusha T),"
 
 ポップ・スモーク 
 ","
 

 Faith


 "
2021-07-29 : 8,8,NOT SOBER (feat. Polo G & Stunna Gambino),"
 
 ザ・キッド・ラロイ 
 ","
 

 F*CK LOVE 3: OVER YOU


 "
2021-07-29 : 9,9,Woo Baby (feat. Chris Brown),"
 
 ポップ・スモーク 
 ","
 

 Faith


 "
2021-07-30 : 1,1,GYALIS,"
 
 Capella Grey 
 ","
 

 GYALIS - Single


 "
2021-07-30 : 10,10,Wild Side (feat. Cardi B),"
 
 ノーマニ 
 ","
 

 Wild Side (feat. Cardi B) - Single


 "
2021-07-30 : 11,11,Over the Top (feat. Drake),"
 
 Smiley 
 ","
 

 Over the Top (feat. Drake) - Single


 "
2021-07-30 : 12,12,NOT SOBER (feat. Polo G & Stunna Gambino),"
 
 ザ・キッド・ラロイ 
 ","
 

 F*CK LOVE 3: OVER YOU


 "
2021-07-30 : 13,13,24 Hours (feat. Lil Durk),"
 
 エイ・ブギー・ウィット・ダ・フーディ 
 ","
 

 24 Hours (feat. Lil Durk) - Single


 "
2021-07-30 : 14,14,2055,"
 
 Sleepy Hallow 
 ","
 

 2055 - Single


 "
2021-07-30 : 15,15,Todo De Ti,"
 
 ラウ・アレハンドロ 
 ","
 

 Todo De Ti - Single


 "
2021-07-30 : 16,16,Wants and Needs (feat. Lil Baby),"
 
 ドレイク 
 ","
 

 Scary Hours 2


 "
2021-07-30 : 17,17,Kiss Me More (feat. SZA),"
 
 Doja Cat 
 ","
 

 Kiss Me More (feat. SZA) - Single


 "
2021-07-30 : 18,18,2/Catorce,"
 
 ラウ・アレハンドロ、 Mr. Naisgai 
 ","
 

 2/Catorce - Single


 "
2021-07-30 : 19,19,Need To Know,"
 
 Doja Cat 
 ","
 

 Planet Her


 "
2021-07-30 : 2,2,Pepas,"
 
 Farruko 
 ","
 

 Pepas - Single


 "
2021-07-30 : 20,20,La Mamá de la Mamá (feat. El Cherry Scom),"
 
 El Alfa、 CJ、 Chael Produciendo 
 ","
 

 La Mamá de la Mamá (feat. El Cherry Scom) - Single


 "
