DATE,ID,SONG,ARTIST,ALBUM,date_dt,song_key,artist_key,track_name,artist_name,_merge
2021-07-28 : 10,10,Wild Side (feat. Cardi B),ノーマニ,Wild Side (feat. Cardi B) - Single,2021-07-28,wild side,ノーマニ,,,left_only
2021-07-28 : 11,11,Yonaguni,バッド・バニー,Yonaguni - Single,2021-07-28,yonaguni,バッドバニー,,,left_only
2021-07-28 : 12,12,24 Hours (feat. Lil Durk),エイ・ブギー・ウィット・ダ・フーディ,24 Hours (feat. Lil Durk) - Single,2021-07-28,24 hours,エイブギーウィットダフーディ,,,left_only
2021-07-28 : 14,14,Todo De Ti,ラウ・アレハンドロ,Todo De Ti - Single,2021-07-28,todo de ti,ラウアレハンドロ,,,left_only
2021-07-28 : 15,15,Wants and Needs (feat. Lil Baby),ドレイク,Scary Hours 2,2021-07-28,wants and needs,ドレイク,,,left_only
2021-07-28 : 16,16,La Mamá de la Mamá (feat. El Cherry Scom),El Alfa、 CJ、 Chael Produciendo,La Mamá de la Mamá (feat. El Cherry Scom) - Single,2021-07-28,la mamá de la mamá,el alfa cj chael produciendo,,,left_only
2021-07-28 : 18,18,On Go (feat. Polo G),Sheff G,On Go (feat. Polo G) - Single,2021-07-28,on go,sheff g,,,left_only
2021-07-28 : 19,19,2/Catorce,ラウ・アレハンドロ、 Mr. Naisgai,2/Catorce - Single,2021-07-28,2catorce,ラウアレハンドロ mr naisgai,,,left_only
2021-07-28 : 2,2,STAY,ザ・キッド・ラロイ、 ジャスティン・ビーバー,STAY - Single,2021-07-28,stay,ザキッドラロイ ジャスティンビーバー,,,left_only
2021-07-28 : 20,20,2055,Sleepy Hallow,2055 - Single,2021-07-28,2055,sleepy hallow,,,left_only
2021-07-28 : 22,22,My Shit,Bizzy Banks,Same Energy,2021-07-28,my shit,bizzy banks,,,left_only
2021-07-28 : 23,23,Late At Night,ロディ・リッチ,Late At Night - Single,2021-07-28,late at night,ロディリッチ,,,left_only
2021-07-28 : 24,24,WHOLE LOTTA MONEY (Remix),BIA、 ニッキー・ミナージュ,WHOLE LOTTA MONEY (Remix) - Single,2021-07-28,whole lotta money,bia ニッキーミナージュ,,,left_only
2021-07-28 : 25,25,Hats Off,リル・ベイビー、 Lil Durk、 トラヴィス・スコット,The Voice of the Heroes,2021-07-28,hats off,リルベイビー lil durk トラヴィススコット,,,left_only
2021-07-28 : 5,5,INDUSTRY BABY,LIL NAS X、 Jack Harlow,INDUSTRY BABY - Single,2021-07-28,industry baby,lil nas x jack harlow,,,left_only
2021-07-28 : 6,6,NOT SOBER (feat. Polo G & Stunna Gambino),ザ・キッド・ラロイ,F*CK LOVE 3: OVER YOU,2021-07-28,not sober,ザキッドラロイ,,,left_only
2021-07-28 : 7,7,30 (feat. Bizzy Banks),ポップ・スモーク,Faith,2021-07-28,30,ポップスモーク,,,left_only
2021-07-28 : 8,8,Tell The Vision (feat. Kanye West & Pusha T),ポップ・スモーク,Faith,2021-07-28,tell the vision,ポップスモーク,,,left_only
2021-07-28 : 9,9,Woo Baby (feat. Chris Brown),ポップ・スモーク,Faith,2021-07-28,woo baby,ポップスモーク,,,left_only
